"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","99","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestUpdateCart","","Sat Jan 04 12:54:16 MSK 2025","passed","Sat Jan 04 12:54:16 MSK 2025","CartIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.CartIntegrationTests","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestUpdateCart"
"","369","ItegrationalTests.IntegrationalTests.UserIntegrationTests.TestChangePassword","","Sat Jan 04 12:54:33 MSK 2025","passed","Sat Jan 04 12:54:33 MSK 2025","UserIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.UserIntegrationTests","ItegrationalTests.IntegrationalTests.UserIntegrationTests.TestChangePassword"
"","6","ItegrationalTests.IntegrationalTests.OrderIntegrationTests.TestGetAll","","Sat Jan 04 12:54:26 MSK 2025","passed","Sat Jan 04 12:54:26 MSK 2025","OrderIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.OrderIntegrationTests","ItegrationalTests.IntegrationalTests.OrderIntegrationTests.TestGetAll"
"","383","ItegrationalTests.IntegrationalTests.ProductIntegrationTests.TestAddProduct","","Sat Jan 04 12:54:06 MSK 2025","passed","Sat Jan 04 12:54:07 MSK 2025","ProductIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.ProductIntegrationTests","ItegrationalTests.IntegrationalTests.ProductIntegrationTests.TestAddProduct"
"","6","ItegrationalTests.IntegrationalTests.OrderIntegrationTests.TestGetOrderById","","Sat Jan 04 12:54:25 MSK 2025","passed","Sat Jan 04 12:54:25 MSK 2025","OrderIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.OrderIntegrationTests","ItegrationalTests.IntegrationalTests.OrderIntegrationTests.TestGetOrderById"
"","5","ItegrationalTests.IntegrationalTests.ProductIntegrationTests.TestGetAll","","Sat Jan 04 12:54:09 MSK 2025","passed","Sat Jan 04 12:54:09 MSK 2025","ProductIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.ProductIntegrationTests","ItegrationalTests.IntegrationalTests.ProductIntegrationTests.TestGetAll"
"","5","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestGetCartById","","Sat Jan 04 12:54:17 MSK 2025","passed","Sat Jan 04 12:54:17 MSK 2025","CartIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.CartIntegrationTests","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestGetCartById"
"","20","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestDeleteCart","","Sat Jan 04 12:54:17 MSK 2025","passed","Sat Jan 04 12:54:17 MSK 2025","CartIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.CartIntegrationTests","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestDeleteCart"
"","330","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestGetAll","","Sat Jan 04 12:54:15 MSK 2025","passed","Sat Jan 04 12:54:15 MSK 2025","CartIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.CartIntegrationTests","ItegrationalTests.IntegrationalTests.CartIntegrationTests.TestGetAll"
"","10","ItegrationalTests.IntegrationalTests.ProductIntegrationTests.TestGetProductById","","Sat Jan 04 12:54:08 MSK 2025","passed","Sat Jan 04 12:54:08 MSK 2025","ProductIntegrational Tests","Integrational Tests","ItegrationalTests.IntegrationalTests.ProductIntegrationTests","ItegrationalTests.IntegrationalTests.ProductIntegrationTests.TestGetProductById"
