"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","UnitTests.UnitTests.TestBL.LondonMethod.CartServiceUnitTests.TestGetCartByIdFailure","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","CartService unit tests London Method","CartServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.CartServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.CartServiceUnitTests.TestGetCartByIdFailure"
"","3","UnitTests.UnitTests.TestBL.DestroitMethod.CartServiceUnitTests.TestAddCartSuccessDestroitMethod","Services Unit tests","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","CartService unit tests Destroit Method","CartServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.CartServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.CartServiceUnitTests.TestAddCartSuccessDestroitMethod"
"","4","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests.TestUpdateItemOrderSuccess","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemOrderService unit tests London Method","ItemOrderServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests.TestUpdateItemOrderSuccess"
"","3","UnitTests.UnitTests.TestBL.DestroitMethod.UserServiceUnitTests.TestChangePasswordDestroitMethod","Services Unit tests","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","UserService unit tests Destroit Method","UserServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.UserServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.UserServiceUnitTests.TestChangePasswordDestroitMethod"
"","2","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests.TestAddItemOrderFailureDestroitMethod","Services Unit tests","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","ItemOrderService unit tests Destroit Method","ItemOrderServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests.TestAddItemOrderFailureDestroitMethod"
"","35","UnitTests.UnitTests.TestDA.CartRepositoryUnitTests.TestUpdateCart","","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","CartRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.CartRepositoryUnitTests","UnitTests.UnitTests.TestDA.CartRepositoryUnitTests.TestUpdateCart"
"","16","UnitTests.UnitTests.TestDA.ItemCartRepositoryUnitTests.TestGetAllItemCartByIdCart","","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","ItemCartRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.ItemCartRepositoryUnitTests","UnitTests.UnitTests.TestDA.ItemCartRepositoryUnitTests.TestGetAllItemCartByIdCart"
"","9","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests.TestUpdateItemOrderFailureDestroitMethod","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemOrderService unit tests Destroit Method","ItemOrderServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests.TestUpdateItemOrderFailureDestroitMethod"
"","382","UnitTests.UnitTests.TestDA.ItemOrderRepositoryUnitTests.TestIsExistItemOrder","","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemOrderRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.ItemOrderRepositoryUnitTests","UnitTests.UnitTests.TestDA.ItemOrderRepositoryUnitTests.TestIsExistItemOrder"
"","559","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests.TestAddProduct","","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ProductRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests.TestAddProduct"
